domain,name,tier,cluster,status,stage,hq,founded,first_seen,last_checked,what,why_tier,evidence_url,notes
getzep.com,Zep,2,infra,active,seed,unknown,2023,2026-06-10,2026-06-10,"Context-graph infrastructure ('Context Lake') for AI agents: governed memory combining chat history + business data, temporal validity, ABAC governance, sub-200ms retrieval; SOC2/HIPAA; customers incl. Samsung, AWS, Writer.",Sells Astell's graph-memory + mirror-permissions pillars a la carte to agent builders (cf. Cognee/Credal); B2B2B infra one layer below the application.,https://www.getzep.com/,Founded 2023; funding not disclosed on page; HQ undisclosed.
mem0.ai,Mem0,2,infra,active,seed,"San Francisco, US",2024,2026-06-10,2026-06-10,"Drop-in memory layer for AI agents/apps: API that persists and compresses context across sessions to cut tokens/latency; SOC2/HIPAA, air-gapped/private-cloud options; YC-backed, 90k+ developers.",Same graph-memory primitive sold to agent builders as Cognee/Zep; developer infra shipping one Astell pillar a la carte.,https://mem0.ai/,YC-backed; ~90k developers; stage inferred (funding not on page).
supermemory.ai,Supermemory,2,infra,active,seed,unknown,2024,2026-06-10,2026-06-10,"Memory-layer API plus personal 'remembers everything' app: custom vector-graph engine, hybrid sub-300ms search, connectors for Notion, Google Drive, Gmail, S3 and custom sources.","Graph-memory pillar sold a la carte (cf. Cognee/Mem0); work-SaaS connectors edge it toward direct, so picking the higher tier.",https://supermemory.ai/,"Pre-seed; backed by Google/DeepMind/Cloudflare execs (TechCrunch, Oct 2025); HQ undisclosed on page."
sentra.app,Sentra,1,direct,active,seed,unknown,unknown,2026-06-15,2026-06-15,"Bi-temporal context graph ('organizational memory') syncing 200+ work tools (Slack, Gmail, Drive, HubSpot, Linear, GitHub, Notion, Asana); surfaces what's true/owed/meant via NL query + MCP/REST memory API with source attribution","Astell's exact mechanics — cross-tool ingest, graph-not-snapshot, cite-not-hallucinate, open-loop surfacing — wrapped in 'memory API' vocabulary; vocabulary never overrides mechanics (cf. Coworker)",https://sentra.app,a16z Speedrun + Together Fund backed (~$5M seed reported); paid POC reported with SoftBank; HQ/founding unconfirmed. Distinct from data-security firm sentra.io
pipeshub.com,PipesHub,1,direct,active,bootstrapped,"San Francisco, US",unknown,2026-06-15,2026-06-15,"Open-source + commercial enterprise workplace AI: cross-SaaS search + agentic automation over Slack, Notion, GitHub, Salesforce, Drive, Jira; knowledge-graph retrieval with pinpointed citations; self-hostable, model-agnostic, SOC 2 Type II",Cross-SaaS search + graph + cited answers + agents = Astell's core mechanics; 'own your infra' open-source angle is the wedge against Glean/Astell,https://pipeshub.com,Apache-2.0 OSS with paid enterprise tier; funding/stage/founding unconfirmed (stage=bootstrapped is a guess)
jedify.com,Jedify,2,data-intel,active,series-a,"Tel Aviv, IL",unknown,2026-06-15,2026-06-15,"'Autonomous context graph' / Semantic Fusion — an AI-ready contextual data layer fusing business logic over warehouses, BI tools, databases and CRMs so agents reason with full company context",Tanderrum-class: Astell's context-graph promise in warehouse/BI vocabulary; one connector-set or positioning shift away from the work-tool lane,https://jedify.com,"$24M Series A (Norwest lead, Snowflake Ventures strategic; ~$33M total); HQ inferred from Israeli press (Calcalist/Ctech), founding unconfirmed"
doti.ai,Doti,1,direct,acquired,acquired,"Tel Aviv, IL",unknown,2026-06-15,2026-06-15,"DIY agentic enterprise-search platform that searches a team's tools and builds workflow agents; acquired by Salesforce (announced Nov 13 2025, closed Q4 FY2026) to power agentic search in Slack/Agentforce","Direct-lane enterprise search; acquisition = 4th consolidation of the category into a suite (after Dashworks→HubSpot, Unleash→Zendesk, Akooda→Tulip)",https://www.salesforceben.com/salesforce-buys-agentic-search-company-doti-its-eighth-acquisition-this-year/,"Customers Orca Security, Similarweb, Bringg; HQ inferred from Israeli customer base; founding/funding undisclosed"
hyperspell.com,Hyperspell,1,direct,active,seed,"San Francisco, US",2025,2026-06-16,2026-06-16,"Company brain: connects 50+ work tools (Slack, Gmail, Drive, Notion, Linear, Jira, Salesforce, HubSpot, GitHub) into one permission-aware, self-correcting context graph served to agents with citations.","Full ingest+graph+permission+cite stack across many work SaaS for teams/agents — Astell's exact promise, incl. supersession/drift tracking; agent-infra vocabulary doesn't override the mechanics (Coworker.ai precedent), so scored up.",https://www.hyperspell.com/,"YC F25; legal entity Digital Workers of California, Inc.; SOC2 + GDPR. Hits all four Astell pillars incl. pillar-2 open-loop/drift handling (retires stale info, resolves conflicts, tracks supersession). Closest single-product clone seen to date. [recovered 2026-06-16 from divergent local scan lineage; orig first_seen 2026-06-15]"
heyhyper.ai,Hyper,2,direct,active,seed,"San Francisco, US",2026,2026-06-16,2026-06-16,"'Company brain' that powers AI employees/agents — a self-maintaining knowledge graph giving agents persistent company context, pitched against MCP's statelessness ('MCP forgets everything by lunch').","Company-brain + knowledge-graph mechanics squarely in Astell's lane, but agent-/dev-memory perimeter and very early (YC P26) — one product step from team-wide intelligence.",https://www.ycombinator.com/companies/hyper-4,"YC Spring 2026 (P26); founders Shalin Shah, Kanyes Thaker. [recovered 2026-06-16 from divergent local scan lineage]"
soliddata.io,Solid,2,data-intel,active,seed,"New York, US",2025,2026-06-16,2026-06-16,"Automates creation/maintenance of 'context graphs' — auto-discovers and builds business-aware semantic models (metric definitions, entities, rules) across a company's data, queries and tools as a single source of truth for business meaning.",Semantic/context-graph layer for enterprise data meaning over Snowflake/Databricks/BigQuery — data-vocabulary sibling of Tanderrum/Cube; one connector-set from the work-tool lane.,https://www.thesaasnews.com/news/solid-raises-20-million-in-seed-round,"$20M seed (Team8, SignalFire), Feb 2026; legal entity Solid Data, Inc.; founders Yoni Leitersdorf, Tal Segalov. [recovered 2026-06-16 from divergent local scan lineage]"
atomicwork.com,Atomicwork,2,employee-assist,active,series-a,"San Francisco, US",2023,2026-06-16,2026-06-16,"Agentic ITSM/ESM platform with a 'Universal Context' enterprise IT graph and AI enterprise search across work tools (Slack, Teams, Microsoft, Okta) for employee service.",Employee IT/HR service assistant building a cross-tool 'enterprise graph' + search — Tier-2 employee-assist lane; one positioning step from general team intelligence.,https://www.atomicwork.com/esm/best-enterprise-search-tools,Stage approximate (Series A-stage ITSM/ESM vendor); HQ San Francisco / Bengaluru. [recovered 2026-06-16 from divergent local scan lineage]
xmemory.ai,xmemory,2,infra,active,pre-seed,"London, GB",2025,2026-06-16,2026-06-16,"'Write-time' memory layer that structures and cleans data as it is written so AI reads return high-precision, governable, auditable answers — reserving semantic search for only the most complex queries.","Funded infra selling Astell's pillar-2/pillar-3 (graph memory + precision/citation) a la carte — same cluster as Cognee/Zep/Mem0/Supermemory, all tracked Tier 2 infra.",https://www.startupmag.co.uk/funding/xmemory-2026-pre-seed-funding,"GBP 3m (~$4m) pre-seed (Fly Ventures, Begin Capital, AAL VC, 33East, Inovia Capital), Mar 2026; founder Alex Petrov; closed beta. [recovered 2026-06-16 from divergent local scan lineage]"
wisdom.ai,WisdomAI,2,data-intel,active,series-a,unknown,2023,2026-06-18,2026-06-18,"NL analytics that reasons across structured, unstructured and 'dirty' data via an 'enterprise context layer'; autonomous agents surface opportunities/risks/trends; LLM only writes the query to curb hallucination.","Canonical Tanderrum-class: warehouse/data-analyst vocabulary carrying Astell's promise, but explicitly claims unstructured data + a context layer. One connector-pivot from direct; pick higher.",https://techcrunch.com/2025/11/12/ai-data-startup-wisdomai-has-raised-another-50m-led-by-kleiner-nvidia/,"$73M total (Coatue $23M seed + Kleiner Perkins / NVentures $50M Series A, Nov 2025); CEO Soham Mazumdar (ex-Rubrik); ~40 enterprise customers (Cisco, ConocoPhillips, Patreon). HQ not confirmed (Bay Area)."
knowi.com,Knowi,2,data-intel,active,bootstrapped,unknown,unknown,2026-06-18,2026-06-18,"Agentic BI: 20+ specialized agents run the full analytics workflow from one NL prompt across 70+ data sources, no semantic layer/data modeling required; SOC 2 Type II, HIPAA-ready, proprietary in-house AI.",AI analyst bounded to databases/warehouses = Tier 2 data-intel per the Zenlytic calibration; agent-orchestrated but still structured-data-perimeter.,https://www.knowi.com/natural-language-bi,Funding/founding not disclosed on site; positions against ThoughtSpot/Looker. Likely an older BI vendor that went AI-native — net-new to registry.
knowlee.ai,Knowlee,2,direct,active,bootstrapped,Italy,unknown,2026-06-18,2026-06-18,"Enterprise AI 'OS' that deploys custom AI agents to run recurring work across sales, recruiting, marketing, legal, finance and ops in parallel, connecting to existing CRM/tools with a full audit trail.",Horizontal cross-tool agent platform (Dust/Coworker family by mechanic) in EU/agent-execution vocabulary; one positioning pivot from a direct rival. Pick higher when torn.,https://knowlee.ai/,Led by Matteo Mirabelli; VAT-registered in Italy; EU/GDPR/AI-Act compliance framing. No funding disclosed. Execution-automation emphasis (vs. a unified knowledge/context graph) — watch trajectory.
